School Name,Address,GSO Rating,Academic Progress,Test Scores,Equity Scores,School Types,Star Rating,Review Link,School Link,City,IsPreK,IsElementary,IsMiddle,IsHigh,Normalized Test Scores,Normalized Academic Progress,Normalized Equity Scores,Composite Score,Score Category,Private,Public District,Public Charter,lat,lon
Valley School,"15700 SHERMAN WAY, Los Angeles, CA, 91406",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",4.1,https://www.greatschools.org/california/los-angeles/8906-Valley-School/reviews/,https://www.greatschools.org/california/los-angeles/8906-Valley-School-Individual-Train/,Los Angeles,True,True,True,False,,,,,Data Not Available,True,False,False,34.23104135,-118.47576501065454
The Help Group's Parkhill School,"7401 Shoup Avenue, Los Angeles, CA, 91307",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",5.0,,https://www.greatschools.org/california/los-angeles/8913-The-Help-Groups-Parkhill-School/,Los Angeles,False,True,True,True,,,,,Data Not Available,True,False,False,34.129851,-118.485217
"Pines Christian, The","25200 WESTERN AVE, Los Angeles, CA, 90710",1,,,,"['Elementary school', 'Private']",5.0,https://www.greatschools.org/california/los-angeles/8916-Pines-Christian-The/reviews/,https://www.greatschools.org/california/los-angeles/8916-Pines-Christian-The/,Los Angeles,False,True,False,False,,,,,Data Not Available,True,False,False,34.10136601612903,-118.29844054838709
"Westland School, The","16200 Mulholland Drive, Los Angeles, CA, 90049",1,,,,"['Elementary school', 'Private']",5.0,https://www.greatschools.org/california/los-angeles/8918-Westland-School-The/reviews/,https://www.greatschools.org/california/los-angeles/8918-Westland-School-The/,Los Angeles,False,True,False,False,,,,,Data Not Available,True,False,False,33.9768976122449,-118.36439746938775
Woodcrest Nazarene Christian School,"10936 Normandie Avenue, Los Angeles, CA, 90044",1,,,,"['Pre-K', 'Elementary school', 'Private']",5.0,,https://www.greatschools.org/california/los-angeles/8926-Woodcrest-Nazarene-Christian-School/,Los Angeles,True,True,False,False,,,,,Data Not Available,True,False,False,34.05084728571429,-118.21918587755103
Woodcrest School,"6043 TAMPA AVE 101A, Los Angeles, CA, 91356",1,,,,"['Elementary school', 'Middle school', 'Private']",4.1,https://www.greatschools.org/california/los-angeles/8927-Woodcrest-School/reviews/,https://www.greatschools.org/california/los-angeles/8927-Woodcrest-School/,Los Angeles,False,True,True,False,,,,,Data Not Available,True,False,False,33.991574666666665,-118.45714600000001
Alex Pilibos Armenian,"1615 North Alexandria Avenue, Los Angeles, CA, 90027",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",3.9,https://www.greatschools.org/california/los-angeles/8931-Alex-Pilibos-Armenian/reviews/,https://www.greatschools.org/california/los-angeles/8931-Alex-Pilibos-Armenian/,Los Angeles,False,True,True,True,,,,,Data Not Available,True,False,False,33.95906308080808,-118.29389433333333
Highland Hall Waldorf School,"17100 SUPERIOR ST, Los Angeles, CA, 91325",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'High school', 'Private']",4.7,https://www.greatschools.org/california/los-angeles/8952-Highland-Hall-Waldorf-School/reviews/,https://www.greatschools.org/california/northridge/8952-Highland-Hall-Waldorf-School/,Los Angeles,True,True,True,True,,,,,Data Not Available,True,False,False,33.98217961215535,-118.30015616522094
Heart Of The Valley Christian School,"18644 Sherman Way, Los Angeles, CA, 91335",1,,,,"['Elementary school', 'Private']",4.0,,https://www.greatschools.org/california/los-angeles/8953-Heart-Of-The-Valley-Christian-School/,Los Angeles,False,True,False,False,,,,,Data Not Available,True,False,False,33.96349705,-118.25608254954294
Centers Of Learning,"8854 HASKELL AVE, Los Angeles, CA, 91343",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'High school', 'Private']",4.4,,https://www.greatschools.org/california/north-hills/8972-Centers-Of-Learning/,Los Angeles,True,True,True,True,,,,,Data Not Available,True,False,False,34.20097771052632,-118.53995378947369
Heritage Christian School,"17531 Rinaldi Street, Los Angeles, CA, 91344",1,,,,"['Elementary school', 'Middle school', 'Private']",4.0,https://www.greatschools.org/california/los-angeles/8980-Heritage-Christian-School/reviews/,https://www.greatschools.org/california/los-angeles/8980-Heritage-Christian-School/,Los Angeles,False,True,True,False,,,,,Data Not Available,True,False,False,34.2794532244898,-118.51689308163265
