School Name,Address,GSO Rating,Academic Progress,Test Scores,Equity Scores,School Types,Star Rating,Review Link,School Link,City,IsPreK,IsElementary,IsMiddle,IsHigh,Normalized Test Scores,Normalized Academic Progress,Normalized Equity Scores,Composite Score,Score Category,Private,Public District,Public Charter,lat,lon
Adventure Days Pre School,"10881 Tierrasanta Boulevard, San Diego, CA, 92124",1,,,,"['Pre-K', 'Elementary school', 'Private']",4.8,,https://www.greatschools.org/california/san-diego/13380-Adventure-Days-Pre-School/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.799803,-117.166722
Dunamis Academy & Dunamis Learning Center,"2920 Newton Avenue, San Diego, CA, 92113",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/13448-Dunamis-Academy--Dunamis-Learning-Center/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.7004217044846,-117.1016185010014
San Diego Center For Children Academy,"3002 Armstrong Street, San Diego, CA, 92111",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",1.0,,https://www.greatschools.org/california/san-diego/13451-San-Diego-Center-For-Children-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.804357,-117.198502
San Diego Adult,"2555 Camino Del Rio South, Suite 155, San Diego, CA, 92108",1,,,,"['Elementary school', 'Middle school', 'High school', 'Public district']",,,https://www.greatschools.org/california/san-diego/13649-San-Diego-Adult/,San Diego,False,True,True,True,,,,,Data Not Available,False,False,True,32.78094336575958,-117.17006730530474
Whittier K-12,"3401 Clairemont Drive, San Diego, CA, 92117",1,,,,"['Elementary school', 'Middle school', 'High school', 'Public district']",2.5,,https://www.greatschools.org/california/san-diego/13737-Whittier-K-12/,San Diego,False,True,True,True,,,,,Data Not Available,False,False,True,32.695122600000005,-117.1311640944816
Montgomery Adult,"3240 Palm Avenue, San Diego, CA, 92154",1,,,,"['Elementary school', 'Middle school', 'High school', 'Public district']",,,https://www.greatschools.org/california/san-diego/14116-Montgomery-Adult/,San Diego,False,True,True,True,,,,,Data Not Available,False,False,True,32.754482,-117.128206
San Diego Continuing Education,"4343 Ocean View Boulevard, San Diego, CA, 92113",1,,,,"['Elementary school', 'Middle school', 'High school', 'Public district']",3.0,,https://www.greatschools.org/california/san-diego/14462-San-Diego-Continuing-Education/,San Diego,False,True,True,True,,,,,Data Not Available,False,False,True,32.709866,-117.126339
King-Chavez Athletics Academy,"415 31st Street, San Diego, CA, 92102",1,,,,"['Elementary school', 'Public charter']",5.0,,https://www.greatschools.org/california/san-diego/14699-King-Chavez-Athletics-Academy/,San Diego,False,True,False,False,,,,,Data Not Available,False,True,False,32.758667,-117.079919
Maria Montessori School,"4544 Pocahontas Avenue, San Diego, CA, 92117",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",4.5,https://www.greatschools.org/california/san-diego/15094-Maria-Montessori-School/reviews/,https://www.greatschools.org/california/san-diego/15094-Maria-Montessori-School/,San Diego,True,True,True,False,,,,,Data Not Available,True,False,False,32.825225,-117.20934
Cornerstone Christian Academy,"5380 El Cajon Boulevard, San Diego, CA, 92115",1,,,,"['Elementary school', 'Middle school', 'Private']",,,https://www.greatschools.org/california/san-diego/15188-Cornerstone-Christian-Academy/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.747134,-117.130689
Faith Academy,"5845 Estelle Street, San Diego, CA, 92115",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/15204-Faith-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.758095,-117.071447
Rainbow Christian,"8052 Anza Dr, San Diego, CA, 92114",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/15292-Rainbow-Christian/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.674114,-117.062361
Early Childhood Education Center Ucsd,"9224 Regents Road, San Diego, CA, 92037",1,,,,"['Pre-K', 'Elementary school', 'Private']",3.2,https://www.greatschools.org/california/san-diego/15497-Early-Childhood-Education-Center-Ucsd/reviews/,https://www.greatschools.org/california/san-diego/15497-Early-Childhood-Education-Center-Ucsd/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.8097469991735,-117.11940699979036
North Park Christian School,"2901 North Park Way, San Diego, CA, 92104",1,,,,"['Pre-K', 'Elementary school', 'Private']",,,https://www.greatschools.org/california/san-diego/15562-North-Park-Christian-School/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,,
Children's Creative And Performing Arts,"3051 El Cajon Boulevard, San Diego, CA, 92104",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",4.0,,https://www.greatschools.org/california/san-diego/15601-Childrens-Creative-And-Performing-Arts/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.94318534135068,-117.22016335337669
Gretels Cottage Pre-School,"3894 Ocean View Boulevard, San Diego, CA, 92113",1,,,,"['Pre-K', 'Elementary school', 'Private']",3.0,,https://www.greatschools.org/california/san-diego/15713-Gretels-Cottage-Pre-School/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.710869,-117.051676
Children's Workshop School,"4055 Camino Del Rio South, San Diego, CA, 92108",1,,,,"['Elementary school', 'Middle school', 'Private']",,,https://www.greatschools.org/california/san-diego/15715-Childrens-Workshop-School/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.820229,-117.097942
International Preschool & Kindergarten,"5940 Winchester Street, San Diego, CA, 92139",1,,,,"['Pre-K', 'Elementary school', 'Private']",,,https://www.greatschools.org/california/san-diego/15758-International-Preschool--Kindergarten/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.7683521670573,-117.14121448680108
Cooperative Learning Center,"4630 Mission Avenue, San Diego, CA, 92116",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/16533-Cooperative-Learning-Center/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.970629,-117.134058
Grace Christian,"3656 Ruffin Road, San Diego, CA, 92123",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",5.0,,https://www.greatschools.org/california/san-diego/16544-Grace-Christian/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.798694,-117.019231
H-Town Christian Academy,"6785 Imperial Avenue, San Diego, CA, 92114",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/16550-H-Town-Christian-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.761597,-117.139501
Kuyper Preparatory School,"7997 Paradise Valley Road, San Diego, CA, 92139",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",4.0,,https://www.greatschools.org/california/san-diego/16552-Kuyper-Preparatory-School/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.87369735,-117.2229036
Cook Education Center,"2255 Camino Del Rio South, San Diego, CA, 92108",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/16555-Cook-Education-Center/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.754482,-117.128206
Notre Dame Academy,"4345 Del Mar Trails Road, San Diego, CA, 92130",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",3.9,https://www.greatschools.org/california/san-diego/16560-Notre-Dame-Academy/reviews/,https://www.greatschools.org/california/san-diego/16560-Notre-Dame-Academy/,San Diego,True,True,True,False,,,,,Data Not Available,True,False,False,32.735733,-117.21885
Rainbow Kids Integral School,"11345 Zapata Avenue, San Diego, CA, 92126",1,,,,"['Pre-K', 'Elementary school', 'Private']",2.7,,https://www.greatschools.org/california/san-diego/16566-Rainbow-Kids-Integral-School/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.745489,-117.246031
The Rock Academy,"2320 Truxtun Road, San Diego, CA, 92106",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'High school', 'Private']",3.7,https://www.greatschools.org/california/san-diego/16568-The-Rock-Academy/reviews/,https://www.greatschools.org/california/san-diego/16568-The-Rock-Academy/,San Diego,True,True,True,True,,,,,Data Not Available,True,False,False,32.957558,-117.228514
Shepherd,"9069 Rotherham Avenue, San Diego, CA, 92129",1,,,,"['Elementary school', 'Middle school', 'Private']",3.0,,https://www.greatschools.org/california/san-diego/16572-Shepherd/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.952274,-117.128765
Sierra School of San Diego,"6460 Boulder Lake Avenue, San Diego, CA, 92119",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",5.0,,https://www.greatschools.org/california/san-diego/16575-Sierra-Academy-Of-San-Diego/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.585364,-117.080306
Words of Hope Christian Academy,"2808 Alta View Drive, San Diego, CA, 92139",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/16583-Words-Of-Hope-Christian-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.89794045,-117.12030629816923
English French Learning Academy,"3219 Clairemont Mesa Boulevard, San Diego, CA, 92117",1,,,,"['Elementary school', 'Private']",4.3,https://www.greatschools.org/california/san-diego/17122-English-French-Learning-Academy/reviews/,https://www.greatschools.org/california/san-diego/17122-English-French-Learning-Academy/,San Diego,False,True,False,False,,,,,Data Not Available,True,False,False,32.697129,-117.025602
The Cambridge School,"12855 Black Mountain Road, San Diego, CA, 92129",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'High school', 'Private']",4.4,https://www.greatschools.org/california/san-diego/17342-The-Cambridge-School/reviews/,https://www.greatschools.org/california/san-diego/17342-The-Cambridge-School/,San Diego,True,True,True,True,,,,,Data Not Available,True,False,False,32.92722449190095,-117.14286499122514
Children's Performing Arts Academy,"3051 El Cajon Boulevard, San Diego, CA, 92104",1,,,,"['Elementary school', 'Private']",,,https://www.greatschools.org/california/san-diego/17343-Childrens-Performing-Arts-Academy/,San Diego,False,True,False,False,,,,,Data Not Available,True,False,False,32.7776564,-117.1070468
Community School of San Diego,"4764 Santa Monica Avenue, San Diego, CA, 92107",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",1.0,,https://www.greatschools.org/california/san-diego/17354-Pioneer-Day-School/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.75156244923416,-117.14817887212715
Kadima Independent Day School,"9001 Towne Centre Drive, San Diego, CA, 92122",1,,,,"['Elementary school', 'Private']",,,https://www.greatschools.org/california/san-diego/9252-Kadima-Independent-Day-School/,San Diego,False,True,False,False,,,,,Data Not Available,True,False,False,32.830619,-117.216093
Del Mar Pines School,"3975 Torrington Street, San Diego, CA, 92130",1,,,,"['Elementary school', 'Private']",5.0,https://www.greatschools.org/california/san-diego/9256-Del-Mar-Pines-School/reviews/,https://www.greatschools.org/california/san-diego/9256-Del-Mar-Pines-School/,San Diego,False,True,False,False,,,,,Data Not Available,True,False,False,32.71198,-117.032571
Ocean View Christian Academy,"2460 Palm Avenue, San Diego, CA, 92154",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'High school', 'Private']",4.4,https://www.greatschools.org/california/san-diego/9259-Ocean-View-Christian-Academy/reviews/,https://www.greatschools.org/california/san-diego/9259-Ocean-View-Christian-Academy/,San Diego,True,True,True,True,,,,,Data Not Available,True,False,False,32.838627,-117.272267
Mira Mesa Christian School,"9696 Candida Street, San Diego, CA, 92126",1,,,,"['Elementary school', 'Private']",4.2,,https://www.greatschools.org/california/san-diego/9260-Mira-Mesa-Christian-School/,San Diego,False,True,False,False,,,,,Data Not Available,True,False,False,32.83433945,-117.24761568626855
San Diego Jewish Academy,"11860 Carmel Creek Road, San Diego, CA, 92130",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'High school', 'Private']",4.2,https://www.greatschools.org/california/san-diego/9261-San-Diego-Jewish-Academy/reviews/,https://www.greatschools.org/california/san-diego/9261-San-Diego-Jewish-Academy/,San Diego,True,True,True,True,,,,,Data Not Available,True,False,False,32.701597,-117.11058
Good Shepherd Catholic,"8160 Gold Coast Drive, San Diego, CA, 92126",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",4.0,,https://www.greatschools.org/california/san-diego/9310-Good-Shepherd-Catholic/,San Diego,True,True,True,False,,,,,Data Not Available,True,False,False,32.700251,-117.094031
"Gillispie School, The","7380 GIRARD AVE, San Diego, CA, 92037",1,,,,"['Pre-K', 'Elementary school', 'Private']",4.2,https://www.greatschools.org/california/san-diego/9424-Gillispie-School-The/reviews/,https://www.greatschools.org/california/san-diego/9424-Gillispie-School-The/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.932922,-117.231138
Christ The Cornerstone Lutheran Academy,"9028 Westmore Road, San Diego, CA, 92126",1,,,,"['Pre-K', 'Elementary school', 'Private']",4.2,https://www.greatschools.org/california/san-diego/9428-Christ-The-Cornerstone-Lutheran-Academy/reviews/,https://www.greatschools.org/california/san-diego/9428-Christ-The-Cornerstone-Lutheran-Academy/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.81669886147188,-117.18210314193945
Aseltine School,"4027 Normal Street, San Diego, CA, 92103",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",1.0,,https://www.greatschools.org/california/san-diego/9584-Aseltine-School/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.67565422842456,-117.04216741155652
"Child's Primary, The","3811 Mount Acadia Boulevard, San Diego, CA, 92111",1,,,,"['Elementary school', 'Middle school', 'Private']",4.7,https://www.greatschools.org/california/san-diego/9624-Childs-Primary-The/reviews/,https://www.greatschools.org/california/san-diego/9624-Childs-Primary-The/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.810782,-117.1808205
San Diego French-American School,"6550 SOLEDAD MOUNTAIN RD, San Diego, CA, 92037",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",4.3,https://www.greatschools.org/california/san-diego/9668-San-Diego-French-American-School/reviews/,https://www.greatschools.org/california/san-diego/9668-San-Diego-French-American-School/,San Diego,True,True,True,False,,,,,Data Not Available,True,False,False,32.915796,-117.114128
Horizon Christian Academy,"5331 Mount Alifan Drive, San Diego, CA, 92111",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",4.5,https://www.greatschools.org/california/san-diego/9711-Horizon-Christian-Academy/reviews/,https://www.greatschools.org/california/san-diego/9711-Horizon-Christian-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.898521,-117.11373
Mt. Erie Christian Academy,"504 South 47th Street, San Diego, CA, 92113",1,,,,"['Elementary school', 'Private']",2.4,https://www.greatschools.org/california/san-diego/9798-Mt.-Erie-Christian-Academy/reviews/,https://www.greatschools.org/california/san-diego/9798-Mt.-Erie-Christian-Academy/,San Diego,False,True,False,False,,,,,Data Not Available,True,False,False,32.571364680632215,-117.07533700289953
Scripps Montessori School,"9939 Old Grove Road, San Diego, CA, 92131",1,,,,"['Pre-K', 'Elementary school', 'Private']",4.9,https://www.greatschools.org/california/san-diego/9878-Scripps-Montessori-School/reviews/,https://www.greatschools.org/california/san-diego/9878-Scripps-Montessori-School/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.901006,-117.10805
Waldorf School Of San Diego,"3547 Altadena Avenue, San Diego, CA, 92105",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'High school', 'Private']",5.0,https://www.greatschools.org/california/san-diego/9936-Waldorf-School-Of-San-Diego/reviews/,https://www.greatschools.org/california/san-diego/9936-Waldorf-School-Of-San-Diego/,San Diego,True,True,True,True,,,,,Data Not Available,True,False,False,33.023325,-117.13689739755173
Maranatha Christian School,"9050 Maranatha Drive, San Diego, CA, 92127",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'High school', 'Private']",3.7,https://www.greatschools.org/california/san-diego/9967-Maranatha-Christian-School/reviews/,https://www.greatschools.org/california/san-diego/9967-Maranatha-Christian-School/,San Diego,True,True,True,True,,,,,Data Not Available,True,False,False,32.581365,-117.100684
Horizon Junior/Senior High School,"5331 Mount Alifan Drive, San Diego, CA, 92111",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'High school', 'Private']",5.0,,https://www.greatschools.org/california/san-diego/9974-Horizon-Junior-Senior-High-School/,San Diego,True,True,True,True,,,,,Data Not Available,True,False,False,32.991559,-117.164643
Lifetime Montessori,"14727 Camino De La Luna, San Diego, CA, 92127",1,,,,"['Pre-K', 'Elementary school', 'Private']",,,https://www.greatschools.org/california/san-diego/30685-Lifetime-Montessori/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.991559,-117.164643
New Gernations Learning Center Plus-School Age,"9878 Hibert Street, San Diego, CA, 92131",1,,,,"['Pre-K', 'Elementary school', 'Private']",,,https://www.greatschools.org/california/san-diego/30716-New-Gernations-Learning-Center-Plus-School-Age/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.675812,-117.051966
"Stephen W. Hawkings II Science, Technology, Engineering, Art And Math Charter","1411 27th Street, San Diego, CA, 92154",1,,,,"['Elementary school', 'Public charter']",5.0,,https://www.greatschools.org/california/san-diego/31138-Stephen-W.-Hawkings-II-Science-Technology-Engineering-Art-And-Math-Charter/,San Diego,False,True,False,False,,,,,Data Not Available,False,True,False,32.805991,-117.232151
Academy Of The Pines,"853 15th Street, San Diego, CA, 92154",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/31493-Academy-Of-The-Pines/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.86952639829037,-117.2068780933493
Ap Christian Academy,"10180 Willow Creek Road, San Diego, CA, 92131",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/31494-Ap-Christian-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.9112857,-117.1117539
Leeway Sudbury School,"3660 Madison Avenue, San Diego, CA, 92116",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",5.0,,https://www.greatschools.org/california/san-diego/31511-Leeway-Sudbury-School/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.769766,-117.179593
Liberty International Academy,"2130 Missouri Street, San Diego, CA, 92109",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/31513-Liberty-International-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.9060133,-117.14761765554094
Lifetime Montessori School,"14727 Camino De La Luna, San Diego, CA, 92127",1,,,,"['Elementary school', 'Private']",5.0,,https://www.greatschools.org/california/san-diego/31514-Lifetime-Montessori-School/,San Diego,False,True,False,False,,,,,Data Not Available,True,False,False,32.81669886147188,-117.18210314193945
Summer Glenn Academy,"6436 Seascape Drive, San Diego, CA, 92139",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",4.0,,https://www.greatschools.org/california/san-diego/31525-Summer-Glenn-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.760933,-117.113723
The Heritage Christian Academy,"11251 Rancho Carmel Drive, San Diego, CA, 92128",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/31526-The-Heritage-Christian-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.827992,-117.175178
The Imagination Station,"9920 Scripps Lake Dr., San Diego, CA, 92131",1,,,,"['Pre-K', 'Elementary school', 'Private']",5.0,,https://www.greatschools.org/california/san-diego/31716-The-Imagination-Station/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.70107804938089,-117.13229582440403
Hope Infant-Toddler Special Education,"6401 Linda Vista Road, San Diego, CA, 92111",1,,,,"['Elementary school', 'Middle school', 'High school', 'Public district']",,,https://www.greatschools.org/california/san-diego/32697-Hope-Infant-Toddler-Special-Education/,San Diego,False,True,True,True,,,,,Data Not Available,False,False,True,32.9173158,-117.1304035
Children's Growing Center-First United Methodist,"2111 Camino del Rio South, San Diego, CA, 92108",1,,,,"['Pre-K', 'Elementary school', 'Private']",,,https://www.greatschools.org/california/san-diego/32950-Childrens-Growing-Center-First-United-Methodist/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,,
Tsumiki,"4811 Mount Etna Drive, San Diego, CA, 92117",1,,,,"['Pre-K', 'Elementary school', 'Private']",,,https://www.greatschools.org/california/san-diego/33196-Tsumiki/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.912085,-117.111348
Beta-Selam Academy,"4514 Market Street, San Diego, CA, 92102",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/33385-Beta-Selam-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.747106,-117.247783
Coastal Christian Academy,"4633 Doliva Drive, San Diego, CA, 92117",1,,,,"['Elementary school', 'Private']",5.0,,https://www.greatschools.org/california/san-diego/33415-Coastal-Christian-Academy/,San Diego,False,True,False,False,,,,,Data Not Available,True,False,False,32.833194654263856,-117.25177624790358
Heritage Christian School of San Diego,"5725 Kearny Villa Road, San Diego, CA, 92123",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",,,https://www.greatschools.org/california/san-diego/33474-Heritage-Christian-School-Of-San-Diego/,San Diego,False,True,True,True,,,,,Data Not Available,True,False,False,32.712339472996135,-117.14254885568953
KIPP Adelante Preparatory Academy,"1475 Sixth Ave. Second Fl., San Diego, CA, 92101",1,,,,"['Elementary school', 'Middle school', 'Public charter']",5.0,,https://www.greatschools.org/california/san-diego/33725-KIPP-Adelante-Preparatory-Academy/,San Diego,False,True,True,False,,,,,Data Not Available,False,True,False,32.837287,-117.133435
Learning Choice Academy,"9950 Scripps Lake Drive, San Diego, CA, 92131",1,,,,"['Elementary school', 'Middle school', 'High school', 'Public charter']",,,https://www.greatschools.org/california/san-diego/33728-Learning-Choice-Academy/,San Diego,False,True,True,True,,,,,Data Not Available,False,True,False,32.7616154,-117.1209583
Logan K-8,"2875 Ocean View Boulevard, San Diego, CA, 92113",1,,,,"['Elementary school', 'Middle school', 'Public district']",4.0,,https://www.greatschools.org/california/san-diego/6188-Logan-K-8/,San Diego,False,True,True,False,,,,,Data Not Available,False,False,True,32.985109,-117.080026
All Hallows Academy,"2390 NAUTILUS ST, San Diego, CA, 92037",1,,,,"['Elementary school', 'Middle school', 'Private']",4.5,https://www.greatschools.org/california/san-diego/8369-All-Hallows-Academy/reviews/,https://www.greatschools.org/california/san-diego/8369-All-Hallows-Academy/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.693225,-117.113219
Our Lady's School,"650 24th Street, San Diego, CA, 92102",1,,,,"['Elementary school', 'Middle school', 'Private']",5.0,https://www.greatschools.org/california/san-diego/8371-Our-Ladys-School/reviews/,https://www.greatschools.org/california/san-diego/8371-Our-Ladys-School/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.7683554872351,-117.14267322183258
Sacred Heart Preschool,"4895 Saratoga Avenue, San Diego, CA, 92107",1,,,,"['Pre-K', 'Elementary school', 'Private']",5.0,,https://www.greatschools.org/california/san-diego/8372-Sacred-Heart-Preschool/,San Diego,True,True,False,False,,,,,Data Not Available,True,False,False,32.822271,-117.191028
St. Didacus Parish School,"4630 34th Street, San Diego, CA, 92116",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",4.0,https://www.greatschools.org/california/san-diego/8374-St.-Didacus-Parish-School/reviews/,https://www.greatschools.org/california/san-diego/8374-St.-Didacus-Parish-School/,San Diego,True,True,True,False,,,,,Data Not Available,True,False,False,32.743261774978045,-117.12984785702123
St Michael Academy,"2637 Homedale Street, San Diego, CA, 92139",1,,,,"['Elementary school', 'Middle school', 'Private']",4.3,https://www.greatschools.org/california/san-diego/8375-St-Michael-Academy/reviews/,https://www.greatschools.org/california/san-diego/8375-St-Michael-Academy/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.751678284947616,-117.10452477743374
Stella Maris Academy,"7654 HERSCHEL AVE, San Diego, CA, 92037",1,,,,"['Elementary school', 'Middle school', 'Private']",2.4,https://www.greatschools.org/california/san-diego/8382-Stella-Maris-Academy/reviews/,https://www.greatschools.org/california/la-jolla/8382-Stella-Maris-Academy/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.743264,-117.085308
"Nazareth School Of San Diego, Inc","10728 San Diego Mission Road, San Diego, CA, 92108",1,,,,"['Elementary school', 'Middle school', 'Private']",3.5,https://www.greatschools.org/california/san-diego/8388-Nazareth-School-Of-San-Diego-Inc/reviews/,https://www.greatschools.org/california/san-diego/8388-Nazareth-School-Of-San-Diego-Inc/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.71152299586506,-117.09734960136721
Our Lady Of The Sacred Heart,"4106 42nd Street, San Diego, CA, 92105",1,,,,"['Elementary school', 'Middle school', 'Private']",3.2,https://www.greatschools.org/california/san-diego/8389-Our-Lady-Of-The-Sacred-Heart/reviews/,https://www.greatschools.org/california/san-diego/8389-Our-Lady-Of-The-Sacred-Heart/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.7438047,-117.2084947
St. Jude Academy,"1228 S 38th St, San Diego, CA, 92113",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",4.0,,https://www.greatschools.org/california/san-diego/8390-St.-Jude-Academy/,San Diego,True,True,True,False,,,,,Data Not Available,True,False,False,32.78466345093496,-117.10912924682805
St. Patrick's Elementary School,"3014 Capps Street, San Diego, CA, 92104",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",4.7,https://www.greatschools.org/california/san-diego/8391-St.-Patricks-Elementary-School/reviews/,https://www.greatschools.org/california/san-diego/8391-St.-Patricks-Elementary-School/,San Diego,True,True,True,False,,,,,Data Not Available,True,False,False,32.751155,-117.172763
St. Rita's School,"5165 Imperial Avenue, San Diego, CA, 92114",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",3.9,https://www.greatschools.org/california/san-diego/8392-St.-Ritas-School/reviews/,https://www.greatschools.org/california/san-diego/8392-St.-Ritas-School/,San Diego,True,True,True,False,,,,,Data Not Available,True,False,False,32.705249762075454,-117.08321674054689
St. Vincent De Paul,"4061 Ibis Street, San Diego, CA, 92103",1,,,,"['Elementary school', 'Middle school', 'Private']",3.8,https://www.greatschools.org/california/san-diego/8393-St.-Vincent-De-Paul/reviews/,https://www.greatschools.org/california/san-diego/8393-St.-Vincent-De-Paul/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.579983001871284,-117.09476074747998
St. Charles Elementary School,"929 18th Street, San Diego, CA, 92154",1,,,,"['Elementary school', 'Middle school', 'Private']",4.4,https://www.greatschools.org/california/san-diego/8398-St.-Charles-Elementary-School/reviews/,https://www.greatschools.org/california/san-diego/8398-St.-Charles-Elementary-School/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.7343068,-117.25208145761673
St Katharine Drexel Academy,"4551 56th Street, San Diego, CA, 92115",1,,,,"['Elementary school', 'Middle school', 'Private']",4.7,https://www.greatschools.org/california/san-diego/8399-St-Katharine-Drexel-Academy/reviews/,https://www.greatschools.org/california/san-diego/8399-Blessed-Sacrament-Elementary-School/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.779963184456015,-117.17017026546488
Holy Family Elementary School,"1945 Coolidge Street, San Diego, CA, 92111",1,,,,"['Elementary school', 'Middle school', 'Private']",3.5,,https://www.greatschools.org/california/san-diego/8400-Holy-Family-Elementary-School/,San Diego,False,True,True,False,,,,,Data Not Available,True,False,False,32.800062,-117.245584
